,Job_URL,Date_Posted,Job_Title,Location
38,https://www.merckgroup.com/en/careers/jobs/269707.html?location=China&state=Beijing&city=Beijing&functionalarea=Commercial,Posted 12 Jan 2024,医药代表-生殖-兰州,"Beijing, Beijing, China"
39,https://www.merckgroup.com/en/careers/jobs/270897.html?location=China&state=Beijing&city=Beijing&functionalarea=Commercial,Posted 12 Jan 2024,医药代表-生殖-呼和浩特,"Beijing, Beijing, China"
40,https://www.merckgroup.com/en/careers/jobs/271184.html?location=Switzerland&state=Vaud&city=Corsier-sur-Vevey&functionalarea=No Functional Area,Posted 12 Jan 2024,Internship Lab Equipment Expert (m/f/d),"Corsier-sur-Vevey, Vaud, Switzerland"
41,https://www.merckgroup.com/en/careers/jobs/270432.html?location=Germany&state=Hamburg&city=Hamburg&functionalarea=Supply Chain,Posted 12 Jan 2024,Versandmitarbeiter/Gabelstaplerfahrer/Lagerlogistiker (w/m/d),"Hamburg, Hamburg, Germany"
42,https://www.merckgroup.com/en/careers/jobs/270437.html?location=Germany&state=Hamburg&city=Hamburg&functionalarea=Supply Chain,Posted 12 Jan 2024,Mitarbeiter Lager und Logistik (w/m/d),"Hamburg, Hamburg, Germany"
43,https://www.merckgroup.com/en/careers/jobs/271152.html?location=France&state=Rhone&city=Lyon&functionalarea=Commercial,Posted 12 Jan 2024,Stagiaire Assistant chef de produit oncologie f/h,"Lyon, Rhone, France"
44,https://www.merckgroup.com/en/careers/jobs/270854.html?location=Poland&state=Dolnoslaskie&city=Wroclaw&functionalarea=Procurement,Posted 12 Jan 2024,Real Estate Analyst (all genders),"Wroclaw, Dolnoslaskie, Poland"
45,https://www.merckgroup.com/en/careers/jobs/268944.html?location=Switzerland&state=Vaud&city=Corsier-sur-Vevey&functionalarea=No Functional Area,Posted 12 Jan 2024,Internship - Digital Twin (m/f/d),"Corsier-sur-Vevey, Vaud, Switzerland"
46,https://www.merckgroup.com/en/careers/jobs/270460.html?location=Germany&state=Hessen&city=Weiterstadt&functionalarea=Commercial,Posted 12 Jan 2024,Working Student Event Management (all genders),"Weiterstadt, Hessen, Germany"
47,https://www.merckgroup.com/en/careers/jobs/271138.html?location=India&state=Karnataka&city=Bangalore&functionalarea=Information Technology,Posted 12 Jan 2024,Expert Audit Management,"Bangalore, Karnataka, India"
